unique.cellid,unique.drugid
184A1,5-FU
184B5,5-FU
22RV1,5-FU
23132-87,5-FU
600MPE,5-FU
639-V,5-FU
647-V,5-FU
769-P,5-FU
786-0,5-FU
A204,5-FU
A253,5-FU
A3-KAW,5-FU
A375,5-FU
A4-Fuk,5-FU
A427,5-FU
A431,5-FU
A498,5-FU
A549,5-FU
A673,5-FU
A704,5-FU
ACHN,5-FU
AMO-1,5-FU
AN3-CA,5-FU
ARH-77,5-FU
AsPC-1,5-FU
AU565,5-FU
AU655,5-FU
BC-1,5-FU
BC-2,5-FU
BC-3,5-FU
BCPAP,5-FU
BDCM,5-FU
BE(2)-C,5-FU
BEWO,5-FU
BFTC-905,5-FU
BHT-101,5-FU
BICR 10,5-FU
BICR 16,5-FU
BICR 18,5-FU
BICR 22,5-FU
BICR 31,5-FU
BICR 56,5-FU
BICR 6,5-FU
BICR 78,5-FU
BL-70,5-FU
BPH-1,5-FU
BT-20,5-FU
BT-474,5-FU
BT-483,5-FU
BT-549,5-FU
BV-173,5-FU
BxPC-3,5-FU
C-33-A,5-FU
C-4 I,5-FU
C-4-II,5-FU
C2BBe1,5-FU
C32,5-FU
Ca-Ski,5-FU
CAKI-1,5-FU
Caki-2,5-FU
CAL-120,5-FU
CAL-12T,5-FU
CAL-148,5-FU
CAL-27,5-FU
CAL-51,5-FU
CAL-54,5-FU
CAL-62,5-FU
CAL-85-1,5-FU
Calu-1,5-FU
Calu-3,5-FU
Calu-6,5-FU
CAMA-1,5-FU
Caov-3,5-FU
CAPAN-1,5-FU
Capan-2,5-FU
CCF-STTG1,5-FU
CCRF-CEM,5-FU
CEMC1,5-FU
CFPAC-1,5-FU
CGTH-W-1,5-FU
ChaGo-K-1,5-FU
CHL-1,5-FU
CHP-212,5-FU
CL-34,5-FU
CL-40,5-FU
CML-T1,5-FU
COLO 201,5-FU
COLO 320DM,5-FU
COLO-205,5-FU
COLO-320-HSR,5-FU
COLO-668,5-FU
COLO-678,5-FU
COLO-679,5-FU
COLO-680N,5-FU
COLO-684,5-FU
COLO-699,5-FU
COLO-704,5-FU
COLO-741,5-FU
COLO-792,5-FU
COLO-800,5-FU
COLO-824,5-FU
COLO-829,5-FU
COLO-849,5-FU
COR-L105,5-FU
COR-L23,5-FU
COR-L279,5-FU
COR-L51,5-FU
COR-L88,5-FU
CRO-AP2,5-FU
CRO-AP5,5-FU
CW-2,5-FU
D-283MED,5-FU
D341 Med,5-FU
Daudi,5-FU
DBTRG-05MG,5-FU
Detroit562,5-FU
DG-75,5-FU
DK-MG,5-FU
DLD-1,5-FU
DMS 454,5-FU
DMS-114,5-FU
DMS-153,5-FU
DMS-273,5-FU
DMS-53,5-FU
DMS-79,5-FU
DOHH-2,5-FU
DoTc2-4510,5-FU
DU-145,5-FU
DU-4475,5-FU
DV-90,5-FU
EB-3,5-FU
EBC-1,5-FU
EFM-19,5-FU
EFM-192A,5-FU
EFM-192B,5-FU
EFM-192C,5-FU
EFO-21,5-FU
EFO-27,5-FU
EKVX,5-FU
EM-2,5-FU
EoL-1-cell,5-FU
EPLC-272H,5-FU
ES-2,5-FU
EVSA-T,5-FU
FADU,5-FU
G-292 A141B1,5-FU
G-361,5-FU
G-401,5-FU
G-402,5-FU
GA-10,5-FU
GA-10 (Clone 20),5-FU
GDM-1,5-FU
Gp2D,5-FU
HBL-100,5-FU
HCC-1171,5-FU
HCC-1195,5-FU
HCC-1359,5-FU
HCC-15,5-FU
HCC-1833,5-FU
HCC-2108,5-FU
HCC-2279,5-FU
HCC-33,5-FU
HCC-366,5-FU
HCC-44,5-FU
HCC-78,5-FU
HCC1008,5-FU
HCC1143,5-FU
HCC1187,5-FU
HCC1395,5-FU
HCC1419,5-FU
HCC1428,5-FU
HCC1500,5-FU
HCC1569,5-FU
HCC1599,5-FU
HCC1806,5-FU
HCC1937,5-FU
HCC1954,5-FU
HCC202,5-FU
HCC2185,5-FU
HCC2218,5-FU
HCC2688,5-FU
HCC2998,5-FU
HCC3153,5-FU
HCC38,5-FU
HCC70,5-FU
HCC712,5-FU
HCC812,5-FU
HCC827,5-FU
HCT-116,5-FU
HCT-15,5-FU
HCT-8,5-FU
HD-MY-Z,5-FU
HDQ-P1,5-FU
HEC-1,5-FU
HEC-1-A,5-FU
HEC-108,5-FU
HEC-151,5-FU
HEC-251,5-FU
HEC-265,5-FU
HEC-59,5-FU
HEC-6,5-FU
HEK TE,5-FU
HEL 92.1.7,5-FU
HeLa,5-FU
Hep 3B2.1-7,5-FU
Hep G2,5-FU
HEY,5-FU
Hey-A8,5-FU
HL-60,5-FU
HMV-II,5-FU
HOP-62,5-FU
HOP-92,5-FU
HPAF-II,5-FU
Hs 172.T,5-FU
Hs 229.T,5-FU
Hs 255.T,5-FU
Hs 281.T,5-FU
Hs 294T,5-FU
Hs 343.T,5-FU
Hs 600.T,5-FU
Hs 606.T,5-FU
Hs 611.T,5-FU
Hs 616.T,5-FU
Hs 618.T,5-FU
Hs 675.T,5-FU
Hs 683,5-FU
Hs 688(A).T,5-FU
Hs 695T,5-FU
