Symbol,Approved.Symbol
(NOL1),NSUN5
#8203,ATXN7L3B
#8209,KCNMB2-AS1
0808Y08Y,NFYC-AS1
1-8D,IFITM2
1-8U,IFITM3
1-CYS,PRDX6
1/2-SBSRNA4,SEC24B-AS1
10-FTHF,ALDH1L1
101F10.1,KNOP1
101F6,CYB561D2
103AS,KIR2DL4
10C,ARHGAP9
11B6,MAGED2
12-HETER,GPR31
123F2,RASSF1
12CC4,FOXP1
12R-LOX,ALOX12B
12S-LOX,ALOX12
133K02,FAM114A2
13CDNA73,FRY
14-3-3,YWHAQ
14-3-3-ZETA,YWHAZ
14.1,IGLL1
14Q(0),SNORD112
14Q(I-1),SNORD113-1
14Q(I-2),SNORD113-2
14Q(I-3),SNORD113-3
14Q(I-4),SNORD113-4
14Q(I-5),SNORD113-5
14Q(I-6),SNORD113-6
14Q(I-7),SNORD113-7
14Q(I-8),SNORD113-8
14Q(I-9),SNORD113-9
14Q(I),SNORD113@
14Q(II-1),SNORD114-1
14Q(II-10),SNORD114-10
14Q(II-11),SNORD114-11
14Q(II-12),SNORD114-12
14Q(II-13),SNORD114-13
14Q(II-14),SNORD114-14
14Q(II-15),SNORD114-15
14Q(II-16),SNORD114-16
14Q(II-17),SNORD114-17
14Q(II-18),SNORD114-18
14Q(II-19),SNORD114-19
14Q(II-2),SNORD114-2
14Q(II-20),SNORD114-20
14Q(II-21),SNORD114-21
14Q(II-22),SNORD114-22
14Q(II-23),SNORD114-23
14Q(II-24),SNORD114-24
14Q(II-25),SNORD114-25
14Q(II-26),SNORD114-26
14Q(II-27),SNORD114-27
14Q(II-28),SNORD114-28
14Q(II-29),SNORD114-29
14Q(II-3),SNORD114-3
14Q(II-30),SNORD114-30
14Q(II-31),SNORD114-31
14Q(II-4),SNORD114-4
14Q(II-5),SNORD114-5
14Q(II-6),SNORD114-6
14Q(II-7),SNORD114-7
14Q(II-8),SNORD114-8
14Q(II-9),SNORD114-9
14Q(II),SNORD114@
15-LOX-1,ALOX15
15-LOX-2,ALOX15B
15.212,KIR2DL4
15.5K,NHP2L1
156DAG,DAG1
15E1.2,GATC
16.1,IGLL3P
16.2,IGLL2P
16.3A5,CD59
16A,ATP6AP1
16E1BP,TRIP13
17-1A,EPCAM
17-BETA-HSD11,HSD17B11
17-BETA-HSDXI,HSD17B11
1700010H15RIK,DNAL1
170A,SKIV2L
17B-HSD10,HSD17B10
182-FIP,NUFIP2
183ACTI,KIR2DS2
18A2,S100A4
19A,SLAMF7
1A1-3B,NBR1
1C7,NCR3
1D,LMOD1
1R20,RGS1
19-Feb,FAM3A
21-Feb,FAM3B
2-COP,COPG2
2-HPCL,HACL1
2'-PDE,PDE12
209L8,ILVBL
20D7-FC4,FBXO46
21-GARP,SH3BGR
2310005P21RIK,C1QTNF3
2310047H23RIK,TXNDC15
239AB,MPPED1
239FB,MPPED2
24B2,STAC2
