Symbol,Approved_Symbol
rs1623519,rs785
rs1831936,rs785
rs11510005,rs2285
rs500723,rs3696
rs17842805,rs3696
rs1796678,rs6807
rs2947320,rs6807
rs3994236,rs6807
rs4080081,rs6807
rs4088758,rs6807
rs4127882,rs6807
rs17062737,rs6807
rs71238838,rs6807
rs3192059,rs9400
rs11545394,rs9400
rs17840482,rs9400
rs3185238,rs10245
rs17840463,rs10245
rs1128357,rs12376
rs17350702,rs12376
rs1058577,rs13666
rs3199224,rs13666
rs3877712,rs13666
rs3930768,rs13666
rs11543312,rs13666
rs16848796,rs13666
rs327064,rs14377
rs327884,rs14377
rs1796675,rs14377
rs3199289,rs14377
rs3868638,rs14377
rs3994225,rs14377
rs11543311,rs14377
rs68010021,rs14377
rs68010022,rs14377
rs68010023,rs14377
rs71236537,rs14377
rs71249197,rs14377
rs71258271,rs14377
rs71269328,rs14377
rs71279086,rs14377
rs1757478,rs14406
rs1807652,rs14406
rs3901821,rs14406
rs4088750,rs14406
rs4127887,rs14406
rs17358523,rs14406
rs67148909,rs14406
rs67148910,rs14406
rs67949169,rs14406
rs67949170,rs14406
rs67949171,rs14406
rs71248949,rs14406
rs768839,rs66941
rs3868397,rs66941
rs3887480,rs66941
rs3994092,rs66941
rs4062325,rs66941
rs17842161,rs66941
rs3867756,rs80163
rs3900997,rs80163
rs3928810,rs80163
rs16849053,rs80163
rs1058602,rs80165
rs3199257,rs80165
rs3868333,rs80165
rs3888523,rs80165
rs11543313,rs80165
rs67352128,rs80165
rs67352129,rs80165
rs67352130,rs80165
rs67352131,rs80165
rs67352132,rs80165
rs67352133,rs80165
rs67352134,rs80165
rs3867932,rs80167
rs698551,rs80176
rs3868336,rs80176
rs4062401,rs80176
rs67030647,rs80176
rs67030648,rs80176
rs71238718,rs80176
rs71244619,rs80176
rs71245933,rs80176
rs71271240,rs80176
rs71279059,rs80176
rs71279080,rs80176
rs71279254,rs80176
rs3811631,rs111639
rs3867930,rs111639
rs67089541,rs111639
rs67089542,rs111639
rs67089543,rs111639
rs67089544,rs111639
rs67089545,rs111639
rs67089546,rs111639
rs67089547,rs111639
rs67089548,rs111639
rs67089549,rs111639
rs67089550,rs111639
rs67089551,rs111639
rs186696,rs149536
rs187338,rs149536
rs189019,rs149536
rs189119,rs149536
rs190138,rs149536
rs193005,rs149536
rs429146,rs149536
rs436083,rs149536
rs1068740,rs149536
rs1068741,rs149536
rs1068753,rs149536
rs1068756,rs149536
rs1298976,rs149536
rs1298977,rs149536
rs1299093,rs149536
rs1299373,rs149536
rs1622654,rs167866
rs3994636,rs172408
rs4014898,rs172408
rs4100037,rs172408
rs1193586,rs184481
rs1631159,rs184481
rs2991663,rs184481
rs3908775,rs184481
rs2651232,rs184544
rs186697,rs186614
rs1298974,rs186614
rs812357,rs186615
rs186695,rs186616
rs1068739,rs186616
rs1298975,rs186616
rs189120,rs189018
rs4103991,rs189018
rs4134174,rs189018
rs191356,rs191278
rs1068770,rs191278
rs1299758,rs191278
rs460393,rs191354
rs814068,rs193004
rs4104008,rs193004
rs193065,rs193006
rs1068781,rs193006
rs1316239,rs193006
rs1092799,rs193064
rs1300129,rs193064
rs1092800,rs193066
rs1316240,rs193066
rs3912692,rs193066
rs230550,rs227886
rs394783,rs230551
rs3103387,rs230552
rs666905,rs276805
rs1082019,rs276805
rs794175,rs298503
rs794633,rs327057
rs1757480,rs327057
rs3994211,rs327057
rs1796677,rs327058
rs3994209,rs327058
rs1796676,rs327059
rs2683331,rs327059
rs3892006,rs327059
rs3994122,rs327059
rs3994208,rs327059
rs4062399,rs327059
rs794632,rs327060
rs2855290,rs327060
rs3870611,rs327061
rs327886,rs327062
rs3877710,rs327062
rs327885,rs327063
rs3868332,rs327063
rs3927886,rs327063
rs71232285,rs327063
rs1308004,rs327882
rs3870609,rs327882
rs1627471,rs327887
rs3867931,rs327887
rs71262106,rs327887
rs1630329,rs327890
rs3931541,rs327890
rs1193578,rs327893
rs1761258,rs327893
rs4085306,rs327893
rs1193579,rs327894
rs1193580,rs327895
rs1629997,rs327895
rs17370089,rs327895
rs1193581,rs327896
rs1193582,rs327897
rs1761262,rs327897
rs3009301,rs327897
rs1193583,rs327898
rs1193584,rs327899
rs1757545,rs327899
rs1193585,rs327900
rs1761263,rs327900
rs3009303,rs327900
rs1624182,rs327904
rs3936925,rs327904
rs1193589,rs327906
rs1193590,rs327907
rs3009314,rs327908
rs2150779,rs327909
rs3945206,rs327909
rs1193591,rs327910
rs1193592,rs327911
rs1619177,rs327911
rs1193593,rs327912
rs1619245,rs327912
rs74220139,rs327912
rs1193594,rs327913
rs1620038,rs327913
rs74209999,rs327913
rs1623371,rs327914
rs2856099,rs327914
rs74189808,rs327914
rs2401627,rs327915
rs3020849,rs327915
rs2896044,rs327916
rs3020850,rs327916
rs3020851,rs327917
rs1193595,rs327919
rs1082847,rs331540
rs1285154,rs331540
rs4969969,rs364775
rs3097976,rs365437
rs3994565,rs365437
rs2020259,rs365565
rs4078854,rs365565
rs11531987,rs366459
rs2401213,rs366645
rs2571307,rs366645
rs28668199,rs366801
rs2783899,rs366901
rs891629,rs367282
rs2567101,rs367282
rs2951726,rs367683
rs10443152,rs367699
rs2915328,rs367731
rs1816439,rs368027
rs2571341,rs370173
rs2117182,rs371019
rs4344200,rs371019
rs4104742,rs371114
rs10454397,rs371114
rs2571297,rs371665
rs28720944,rs371665
rs2916287,rs373899
rs3994290,rs373899
rs3994649,rs373899
rs6422955,rs373899
rs10314397,rs373899
rs10321999,rs373899
rs6607233,rs375595
rs3193346,rs376143
rs7402859,rs376956
rs6607206,rs377032
rs10321946,rs377032
rs8025709,rs377346
rs10314408,rs377346
rs3936349,rs377677
rs28561408,rs377677
rs2916779,rs377842
rs4969896,rs377983
rs2916289,rs378068
rs3994657,rs378068
rs2916293,rs378234
rs4078856,rs378234
rs914901,rs380055
rs3895506,rs380055
rs4104758,rs380055
rs4266355,rs380055
rs9632278,rs380055
rs1818092,rs380221
rs2651233,rs380221
rs2401227,rs380306
rs4336732,rs381189
rs3119988,rs381764
rs9637751,rs381764
rs10923005,rs381776
rs17390486,rs381776
rs36151251,rs381776
rs56683249,rs381776
rs409690,rs382093
rs1946575,rs383862
rs6422920,rs383862
rs4104764,rs384001
rs3957879,rs384872
rs1835589,rs384950
rs6607244,rs385557
rs4112610,rs385798
rs2916294,rs386235
rs3884046,rs386235
rs4247416,rs386671
rs9628821,rs386671
rs3097636,rs387364
rs9988172,rs387364
rs4093725,rs387397
rs2915381,rs387453
rs2116190,rs387650
rs2401209,rs387650
rs1347260,rs387695
rs4969877,rs388131
rs6607202,rs388131
rs9330952,rs388131
rs4120588,rs388324
rs9723112,rs388324
rs9777898,rs388324
rs10448442,rs388324
rs2033537,rs388982
rs4422890,rs388982
rs3939357,rs389294
rs4124545,rs389294
rs7689640,rs389472
rs3900409,rs389552
rs17399455,rs389552
rs2570531,rs391126
rs6606982,rs391126
rs7174672,rs391126
rs10453544,rs391126
rs17386685,rs391126
rs8030003,rs391589
rs3994549,rs392547
rs10314386,rs392547
rs10321960,rs392547
rs7402026,rs394326
rs2916281,rs394648
rs4100026,rs394648
rs2401375,rs395102
rs28568452,rs395102
rs28623332,rs395355
rs4085533,rs396141
rs6605409,rs396141
rs4022091,rs396210
rs3866665,rs396701
rs3957887,rs396701
rs7496346,rs396701
rs2571294,rs397008
rs3895505,rs397303
rs4537004,rs397303
rs28537889,rs397447
rs4091103,rs397947
rs10443149,rs399618
rs2082568,rs399787
rs9697609,rs400380
rs2916796,rs400456
rs1808613,rs400473
rs2164137,rs400849
rs17386843,rs400849
rs17842986,rs400974
rs4097960,rs401474
rs2116166,rs401602
rs2916299,rs401602
rs3895508,rs401931
rs28463709,rs401931
rs7178528,rs402017
rs10322016,rs402017
rs2916277,rs402251
rs3994564,rs402251
rs10436605,rs402251
rs3871262,rs402274
rs9330949,rs402659
rs2082572,rs403037
rs2915354,rs403037
rs3994285,rs403037
rs3994655,rs403037
rs6607158,rs403037
rs10321973,rs403037
rs2915331,rs403422
rs2780578,rs403945
rs9330651,rs404916
rs11122768,rs404916
rs28414731,rs404916
rs1845200,rs404956
rs1932403,rs404956
rs3882345,rs404956
rs28735991,rs404956
rs4124497,rs405819
rs4081892,rs406164
rs28582953,rs406164
rs9697296,rs406214
rs10448552,rs406214
rs7180390,rs406426
rs4969924,rs406505
rs6607204,rs407848
rs9777994,rs407848
rs9803048,rs407848
rs9988092,rs407848
rs10442288,rs407848
rs9793360,rs408137
rs4100213,rs408415
rs4358908,rs408415
rs9330935,rs408415
rs11507750,rs408415
rs3097638,rs408449
rs3994566,rs408449
rs10436602,rs408449
rs28593489,rs409020
rs17658040,rs409472
rs28656444,rs410366
rs1808709,rs410559
rs3932609,rs410624
rs10450168,rs410624
rs2571295,rs411224
rs2571304,rs411659
rs7498067,rs411673
rs1864632,rs411845
rs2639859,rs412312
rs3887459,rs412589
rs10442210,rs412863
rs2991134,rs412940
rs4062034,rs412940
rs1367624,rs413132
rs10443151,rs413200
rs10443150,rs414606
rs2374798,rs416045
rs4122865,rs416045
rs1831842,rs416733
rs4115535,rs416733
rs6813032,rs416733
rs3883998,rs416835
rs2915355,rs417924
rs3994654,rs417924
rs6422951,rs417924
rs10314405,rs417924
rs10322011,rs417924
rs2783830,rs418136
rs4104750,rs418136
rs4112127,rs418136
rs7673584,rs418136
rs2117181,rs418908
rs4344201,rs418908
rs1810955,rs419357
rs11581069,rs419803
rs3882356,rs420310
rs28431018,rs420310
rs1140829,rs420945
rs4565160,rs420945
rs891615,rs421236
rs4078855,rs421236
rs10448468,rs422098
rs1431161,rs422838
rs2571332,rs422838
rs2780534,rs422912
rs6650945,rs422912
rs1831841,rs423486
rs4115536,rs423486
rs6834654,rs423486
rs4097954,rs424142
rs2780517,rs426373
rs3895507,rs426373
rs3930287,rs426373
rs1367623,rs426549
rs2915363,rs426621
rs6607180,rs426621
rs10314400,rs426621
rs10322004,rs426621
rs1655400,rs426644
rs2204834,rs426644
rs2916786,rs426644
rs6605403,rs427396
rs6851466,rs427782
rs4085539,rs428567
rs2701695,rs428711
rs7497553,rs428711
rs10436444,rs429165
rs2571308,rs430032
rs4124532,rs430401
rs9803127,rs430401
rs10448513,rs430401
rs1978745,rs430951
rs7171169,rs433126
rs9330951,rs433126
rs10314368,rs433126
rs10321931,rs433126
rs28637936,rs433344
rs7403781,rs434291
rs4105473,rs434293
rs2915351,rs434552
rs7167251,rs434552
rs8031004,rs434592
rs17840462,rs434592
rs2951712,rs435984
rs8031732,rs435984
rs2483453,rs436222
rs4112163,rs436222
rs3845147,rs436533
rs2401356,rs437279
rs2082677,rs438292
rs4103498,rs438377
rs4115527,rs438498
rs7698474,rs438498
rs892622,rs439027
rs2916795,rs439027
rs3994668,rs439068
rs4100033,rs439068
rs4478693,rs439068
rs4969910,rs439068
rs3994571,rs439217
rs4088844,rs439413
rs7172951,rs439948
rs3968672,rs440107
rs7535906,rs440107
rs9633385,rs440107
rs9778079,rs440236
rs10448467,rs440236
rs3948397,rs440362
rs3994552,rs440449
rs2951714,rs441135
rs9330774,rs441289
rs28360711,rs441289
rs8030392,rs441692
rs7173543,rs442011
rs1369141,rs442096
rs2915327,rs443474
rs2571319,rs444175
rs3900410,rs444267
rs28401642,rs444296
rs3994715,rs444315
rs4100307,rs444315
rs28406020,rs444362
rs3994563,rs444623
rs7526200,rs444941
rs2082678,rs446007
rs4100025,rs446466
rs2916792,rs447002
rs10449637,rs447185
rs2452604,rs447405
rs4564008,rs447426
rs4115533,rs447569
rs6424043,rs447880
rs28688855,rs447880
rs2951709,rs448064
rs3097977,rs448097
rs3994567,rs448097
rs10436600,rs448097
rs6606949,rs448358
rs17840443,rs448358
rs2916288,rs448519
rs6607153,rs448519
rs2916778,rs449122
rs2567067,rs449827
rs2780604,rs450042
rs9777775,rs450042
rs10448466,rs450042
rs1808742,rs450142
rs4104760,rs450143
rs4120319,rs450143
rs9632279,rs450143
rs4120329,rs450225
rs9637750,rs450225
rs10448437,rs450225
rs10443136,rs450747
rs28481319,rs450747
rs34352876,rs450747
rs7402041,rs450776
rs28525979,rs450776
rs3882408,rs450883
rs28515789,rs450906
rs6847361,rs450909
rs10448440,rs450909
rs2639883,rs451654
rs17729752,rs451761
rs3097637,rs451828
rs3957901,rs451828
rs10436601,rs451828
rs3994740,rs452086
rs4969996,rs452086
rs2483451,rs452576
rs4112119,rs452576
rs4115562,rs452576
rs10453383,rs452576
rs17839163,rs452595
rs4103499,rs453093
rs17840433,rs453421
rs28896852,rs453744
rs3957865,rs454524
rs7658476,rs454623
rs1845192,rs455077
rs2783817,rs455077
rs28846225,rs455077
rs4088845,rs455498
rs1844301,rs455680
rs4448922,rs455680
rs2374868,rs456173
rs4083332,rs456173
rs2101493,rs457390
rs1580544,rs458436
rs28664726,rs458520
rs28609671,rs458595
rs982377,rs458716
rs2401278,rs458825
rs2571318,rs458825
rs2151484,rs460371
rs4112543,rs460371
rs2701720,rs460883
rs4103533,rs460883
rs2571302,rs461332
rs2951713,rs461332
rs8027957,rs461332
rs1817733,rs461535
rs4103992,rs461783
rs4134175,rs461783
rs1836327,rs462160
rs1826042,rs463581
rs1580543,rs464203
rs1844300,rs464207
rs1844296,rs464369
rs1826041,rs464751
rs3957873,rs464757
rs1844297,rs465816
rs2630006,rs465858
rs2171698,rs466349
rs1434692,rs466622
rs17842983,rs466627
rs28786155,rs466627
rs2915382,rs466666
rs2571303,rs466716
rs2915333,rs466716
rs7402394,rs466716
rs1594909,rs466780
rs17378355,rs466780
rs17387860,rs466780
rs1602024,rs466945
rs2915317,rs467115
rs4091104,rs467115
rs2163433,rs467206
rs1843520,rs467404
rs3900043,rs467469
rs3994627,rs467469
rs4014904,rs467469
rs10322036,rs467469
rs17840466,rs467469
rs4093041,rs469146
rs2361899,rs471277
rs4119472,rs471532
rs3195367,rs472329
rs3195369,rs472448
rs17842007,rs472448
rs34625984,rs472461
rs3195371,rs472538
rs17842008,rs472538
rs35686522,rs473029
rs4622077,rs473540
rs4096404,rs474027
rs4096405,rs474063
rs17391839,rs474063
rs3885428,rs474653
rs4023707,rs474653
rs4024806,rs474653
rs4119438,rs474653
rs4024808,rs475649
rs4091310,rs475649
rs4081020,rs475928
rs4024809,rs476502
rs4091301,rs476502
rs17387957,rs476575
rs4045886,rs476880
rs4966083,rs476880
rs17387964,rs476880
rs35974040,rs476880
rs4023715,rs477080
rs71224268,rs477080
rs4078781,rs477404
rs35831909,rs477666
rs34390646,rs477675
rs35742638,rs477703
rs4096406,rs477730
rs35749825,rs478374
rs35451863,rs478763
rs17391922,rs480151
rs34745943,rs480273
rs3867709,rs480276
rs4024662,rs480969
rs11508704,rs480969
rs71230324,rs480969
rs3867690,rs481120
rs4100446,rs481120
rs71236063,rs481120
rs35980543,rs481340
rs4090758,rs482073
rs4555136,rs482073
